Release_Date,Title,Production company,Cast and crew,Genre
2-Jan-08,The Killing of John Lennon,IFC First Take,"Andrew Piddington (director/screenplay); Jonas Ball, Krisha Fairchild, Gunter Stern, Gail Kay Bell, Mie Omori, Robert C. Kirk","Crime, Drama"
4-Jan-08,One Missed Call,Warner Bros. Pictures / Alcon Entertainment / Kadokawa Pictures,"Eric Valette (director); Andrew Klavan (screenplay); Shannyn Sossamon, Edward Burns, Ana Claudia Talancón, Ray Wise, Azura Skye, Johnny Lewis, Jason Beghe, Margaret Cho, Meagan Good, Rhoda Griffis, Ariel Winter, Dave Spector, Laura Harring, Wilbur Fitzgerald, Raegan Lamb, Karen Bayer, Mary Lynn Owen, Roy McCrerey, Greg Corbett, Bart Hansard, Katie Kneeland, Jason Horgan, Kaira Akita, Lauren Peyton, Dawn Dininger, Sarah Jean Kubik",Horror
4-Jan-08,A Bloody Aria,ImaginAsian,"Won Shin-yun (director/screenplay); Han Suk-kyu, Lee Moon-sik, Oh Dal-su, Lee Byung-joon, Cha Ye-ryun",Black comedy
9-Jan-08,The Business of Being Born,Red Envelope Entertainment / New Line Home Entertainment,Abby Epstein (director),Documentary
11-Jan-08,First Sunday,Screen Gems / Cube Vision,"David E. Talbert (director/screenplay); Ice Cube, Katt Williams, Tracy Morgan, Loretta Devine, Michael Beach, Keith David, Regina Hall, Retta, Malinda Williams, Chi McBride, Clifton Powell, Nicholas Turturro, Olivia Cole, Red Grant, C.J. Sanders, Rickey Smiley, Arjay Smith, P.J. Byrne, Paul Campbell, Tiffany Pollard, Jasmine Masters",Comedy
11-Jan-08,In the Name of the King,Freestyle Releasing / Boll KG / Brightlight Pictures,"Uwe Boll (director); Doug Taylor (screenplay); Jason Statham, Leelee Sobieski, Ron Perlman, John Rhys-Davies, Claire Forlani, Matthew Lillard, Kristanna Loken, Will Sanderson, Tania Saulnier, Brian J. White, Ray Liotta, Burt Reynolds, Mike Dopud, Gabrielle Rose, Terence Kelly, Colin Ford","Action, Fantasy"
11-Jan-08,The Pirates Who Don't Do Anything: A VeggieTales Movie,Universal Pictures / Big Idea Productions,"Mike Nawrocki (director); Phil Vischer (screenplay); Phil Vischer, Mike Nawrocki, Cam Clarke, Yuri Lowenthal, Laura Gerow, Alan Lee, Tim Hodge, Megan Murphy, Cydney Trent, Keri Pisapia, Sondra Morton Chaffin, Drake Lyle, Ally Nawrocki, Jim Poole, Joe Spadford, Brian Roberts, Andy Youssi, John Wahba, Patrick Kramer","Family, Adventure, Comedy"
18-Jan-08,27 Dresses,20th Century Fox / Fox 2000 Pictures / Spyglass Entertainment,"Anne Fletcher (director); Aline Brosh McKenna (screenplay); Katherine Heigl, James Marsden, Malin Åkerman, Edward Burns, Judy Greer, Melora Hardin, Michael Ziegfeld, Brian Kerwin, Maulik Pancholy, David Castro, Krysten Ritter, Peyton List, Charli Barcena","Romance, Comedy"
18-Jan-08,Cassandra's Dream,The Weinstein Company,"Woody Allen (director/screenplay); Hayley Atwell, Colin Farrell, Sally Hawkins, Ewan McGregor, Tom Wilkinson, John Benfield, Clare Higgins, Ashley Madekwe, Andrew Howard, Phil Davis, Jim Carter, Richard Lintern, Jennifer Higham, Lee Whitlock, Hugh Rathbone, Allan Ramsey, Paul Marc Davis, Terry Budin-Jones, Franck Viano, Tommy Mack","Drama, Thriller"
18-Jan-08,Cloverfield,Paramount Pictures / Bad Robot Productions,"Matt Reeves (director); Drew Goddard (screenplay); Michael Stahl-David, Mike Vogel, Odette Yustman, Lizzy Caplan, T.J. Miller, Jessica Lucas, Theo Rossi, Brian Klugman, Kelvin Yu, Liza Lapira, Lili Mirojnick, Ben Feldman, Baron Vaughn, Charlyne Yi, Rick Overton, Jason Cerbone, Pavel Lychnikoff, Billy Brown, Scott Lawrence, Tim Griffin, Chris Mulkey, Margot Farley, Matt Reeves",Monster
18-Jan-08,Mad Money,Overture Films / Millennium Films,"Callie Khouri (director); Glenn Gers (screenplay); Diane Keaton, Queen Latifah, Katie Holmes, Ted Danson, Roger Cross, Adam Rothenberg, Stephen Root, J.C. MacKenzie, Christopher McDonald, Finesse Mitchell, Bryan Massey, Meagen Fay, Marc Macaulay, Peyton Alex Smith, Jim Cramer","Comedy, Crime"
18-Jan-08,Teeth,Roadside Attractions,"Mitchell Lichtenstein (director/screenplay); Jess Weixler, John Hensley, Josh Pais, Hale Appleman, Ashley Springer, Lenny Von Dohlen, Vivienne Benesch, Julia Garro, Adam Wagner, Trent Moore, Ava Ryen Plumb, Hunter Ulvog","Horror, Comedy"
25-Jan-08,How She Move,Paramount Vantage / MTV Films,"Ian Iqbal Rashid (director); Annmarie Morais (screenplay); Rutina Wesley, Dwain Murphy, Clé Bennett, Romina D'Ugo, Kevin Duhaney, Shawn Desman, Nina Dobrev, Brennan Gademans, Tré Armstrong, Jai Jai Jones, Tristan D. Lalla, Merwin Mondesir, Daniel Morrison, Boyd Banks, Ardon Bess, Ingrid Gaynor, Melanie Nicholls-King, Brian Paul, Tanisha Scott, Alison-Sealy Smith, Djanet Sears, Romina D'Ugo, Keyshia Cole, DeRay Davis, Kardinal Offishall, Mýa",Drama
25-Jan-08,Meet the Spartans,20th Century Fox / Regency Enterprises,"Jason Friedberg, Aaron Seltzer (directors/screenplay); Sean Maguire, Kevin Sorbo, Carmen Electra, Ken Davitian, Diedrich Bader, Travis Van Winkle, Jareb Dauplaise, Nicole Parker, Ike Barinholtz, Hunter Clary, Phil Morris, Method Man, Ryan Fraley, Tiffany Claus, Nick Steele, Tony Yalda, Christopher Lett, Jim Piddock, Nate Haden, Crista Flanagan, Thomas McKenna, Jesse Lewis IV, Jenny Costa, Belinda Waymouth, Dean Cochran, Emily Wilson, John Di Domenico, Jim Nieb, Tiffany Haddish, Zachary Dylan Smith, Robin Atkin Downes","Comedy, Parody"
25-Jan-08,Minutemen,Disney Channel,"Lev L. Spiro (director); John Killoran, Bill Tobin (screenplay); Jason Dolley, Luke Benward, Nicholas Braun, Chelsea Staub, J.P. Manoux, Steven R. McQueen, Kara Crane, Dexter Darden, Kellie Cockrell, Molly Jepson",
25-Jan-08,Rambo,Lionsgate / The Weinstein Company / Millennium Films / Equity Pictures,"Sylvester Stallone (director/screenplay); Art Monterastelli (screenplay); Sylvester Stallone, Julie Benz, Paul Schulze, Matthew Marsden, Graham McTavish, Tim Kang, Rey Gallegos, Jake La Botz, Ken Howard, Supakorn Kitsuwon, Maung Maung Khin, Aung Aay Noi, Sornram Patchimtasanakarn",Action
25-Jan-08,Untraceable,Screen Gems / Lakeshore Entertainment,"Gregory Hoblit (director); Robert Fyvolent, Mark Brinker, Allison Burnett (screenplay); Diane Lane, Colin Hanks, Billy Burke, Joseph Cross, Mary Beth Hurt, Tyrone Giordano, Perla Haney-Jardine, Christopher Cousins, Tim De Zarn, Jesse Tyler Ferguson, Dax Jordan, Peter Lewis, John Breen, Brynn Baron, Phil Hamilton","Crime, Thriller"
1-Feb-08,The Eye,Lionsgate / Paramount Vantage / Cruise/Wagner Productions,"David Moreau, Xavier Palud (directors); Sebastian Gutiérrez (screenplay); Jessica Alba, Parker Posey, Alessandro Nivola, Rade Šerbedžija, Obba Babatundé, Tamlyn Tomita, Fernanda Romero, Rachel Ticotin, Chloë Grace Moretz","Thriller, Horror"
1-Feb-08,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Walt Disney Pictures,"Bruce Hendricks (director); Miley Cyrus, Candice Accola, Jonas Brothers, Kenny Ortega, Billy Ray Cyrus",Concert
